name,mos
amphoriskos_Octree-Lifting_R01.ply,1
amphoriskos_Octree-Lifting_R02.ply,1.5
amphoriskos_Octree-Lifting_R03.ply,2.9
amphoriskos_Octree-Lifting_R04.ply,4.375
amphoriskos_Octree-Lifting_R05.ply,4.6
amphoriskos_Octree-Lifting_R06.ply,4.75
amphoriskos_Octree-RAHT_R01.ply,1
amphoriskos_Octree-RAHT_R02.ply,1.075
amphoriskos_Octree-RAHT_R03.ply,2.025
amphoriskos_Octree-RAHT_R04.ply,3.7
amphoriskos_Octree-RAHT_R05.ply,4.475
amphoriskos_Octree-RAHT_R06.ply,4.85
amphoriskos_TriSoup-Lifting_R01.ply,1.25
amphoriskos_TriSoup-Lifting_R02.ply,2.3
amphoriskos_TriSoup-Lifting_R03.ply,2.675
amphoriskos_TriSoup-Lifting_R04.ply,2.725
amphoriskos_TriSoup-Lifting_R05.ply,3.1
amphoriskos_TriSoup-Lifting_R06.ply,4.9
amphoriskos_TriSoup-RAHT_R01.ply,1.025
amphoriskos_TriSoup-RAHT_R02.ply,1.625
amphoriskos_TriSoup-RAHT_R03.ply,2.05
amphoriskos_TriSoup-RAHT_R04.ply,2.45
amphoriskos_TriSoup-RAHT_R05.ply,3.1
amphoriskos_TriSoup-RAHT_R06.ply,4.725
amphoriskos_VPCC_R01.ply,2.5
amphoriskos_VPCC_R02.ply,3.475
amphoriskos_VPCC_R03.ply,3.6
amphoriskos_VPCC_R04.ply,4.5
amphoriskos_VPCC_R05.ply,4.475
biplane_Octree-Lifting_R01.ply,1
biplane_Octree-Lifting_R02.ply,1.1
biplane_Octree-Lifting_R03.ply,1.975
biplane_Octree-Lifting_R04.ply,3.8
biplane_Octree-Lifting_R05.ply,4.575
biplane_Octree-Lifting_R06.ply,4.775
biplane_Octree-RAHT_R01.ply,1
biplane_Octree-RAHT_R02.ply,1.05
biplane_Octree-RAHT_R03.ply,2.05
biplane_Octree-RAHT_R04.ply,3.925
biplane_Octree-RAHT_R05.ply,4.55
biplane_Octree-RAHT_R06.ply,4.75
biplane_TriSoup-Lifting_R01.ply,1.1
biplane_TriSoup-Lifting_R02.ply,1.9
biplane_TriSoup-Lifting_R03.ply,2.35
biplane_TriSoup-Lifting_R04.ply,2.225
biplane_TriSoup-Lifting_R05.ply,3.125
biplane_TriSoup-Lifting_R06.ply,4.925
biplane_TriSoup-RAHT_R01.ply,1.025
biplane_TriSoup-RAHT_R02.ply,1.55
biplane_TriSoup-RAHT_R03.ply,2.15
biplane_TriSoup-RAHT_R04.ply,2.1
biplane_TriSoup-RAHT_R05.ply,4.15
biplane_TriSoup-RAHT_R06.ply,4.975
biplane_VPCC_R01.ply,2
biplane_VPCC_R02.ply,3.5
biplane_VPCC_R03.ply,3
biplane_VPCC_R04.ply,3.5
biplane_VPCC_R05.ply,4.725
