name,mos
head_Octree-Lifting_R01.ply,1
head_Octree-Lifting_R02.ply,1.125
head_Octree-Lifting_R03.ply,1.8
head_Octree-Lifting_R04.ply,3.6
head_Octree-Lifting_R05.ply,4.45
head_Octree-Lifting_R06.ply,4.6
head_Octree-RAHT_R01.ply,1
head_Octree-RAHT_R02.ply,1
head_Octree-RAHT_R03.ply,1.575
head_Octree-RAHT_R04.ply,3.15
head_Octree-RAHT_R05.ply,4.875
head_Octree-RAHT_R06.ply,4.85
head_TriSoup-Lifting_R01.ply,1.025
head_TriSoup-Lifting_R02.ply,1.175
head_TriSoup-Lifting_R03.ply,1.75
head_TriSoup-Lifting_R04.ply,2.425
head_TriSoup-Lifting_R05.ply,4.05
head_TriSoup-Lifting_R06.ply,4.9
head_TriSoup-RAHT_R01.ply,1
head_TriSoup-RAHT_R02.ply,1.1
head_TriSoup-RAHT_R03.ply,1.375
head_TriSoup-RAHT_R04.ply,3.1
head_TriSoup-RAHT_R05.ply,3.9
head_TriSoup-RAHT_R06.ply,4.95
head_VPCC_R01.ply,1.2
head_VPCC_R02.ply,1.875
head_VPCC_R03.ply,2.9
head_VPCC_R04.ply,3.775
head_VPCC_R05.ply,4.55
longdress_Octree-Lifting_R01.ply,1
longdress_Octree-Lifting_R02.ply,1
longdress_Octree-Lifting_R03.ply,1.425
longdress_Octree-Lifting_R04.ply,2.25
longdress_Octree-Lifting_R05.ply,2.975
longdress_Octree-Lifting_R06.ply,4.25
longdress_Octree-RAHT_R01.ply,1
longdress_Octree-RAHT_R02.ply,1
longdress_Octree-RAHT_R03.ply,1.225
longdress_Octree-RAHT_R04.ply,2.125
longdress_Octree-RAHT_R05.ply,2.85
longdress_Octree-RAHT_R06.ply,3.325
longdress_TriSoup-Lifting_R01.ply,1.05
longdress_TriSoup-Lifting_R02.ply,1.4
longdress_TriSoup-Lifting_R03.ply,1.575
longdress_TriSoup-Lifting_R04.ply,1.8
longdress_TriSoup-Lifting_R05.ply,2.925
longdress_TriSoup-Lifting_R06.ply,4.65
longdress_TriSoup-RAHT_R01.ply,1
longdress_TriSoup-RAHT_R02.ply,1.025
longdress_TriSoup-RAHT_R03.ply,1.2
longdress_TriSoup-RAHT_R04.ply,1.65
longdress_TriSoup-RAHT_R05.ply,2.9
longdress_TriSoup-RAHT_R06.ply,3.925
longdress_VPCC_R01.ply,1.2
longdress_VPCC_R02.ply,1.575
longdress_VPCC_R03.ply,3.025
longdress_VPCC_R04.ply,3.975
longdress_VPCC_R05.ply,3.775
